Track,SDR Drums,SIR Drums,SAR Drums,SDR Bass,SIR Bass,SAR Bass,SDR Other,SIR Other,SAR Other,SDR Vocals,SIR Vocals,SAR Vocals
A Classic Education - NightOwl,-2.929553862095648,1.0174144626142916,1.8420085303059364,15.59979940015673,29.527391908074726,15.784098712069028,9.506066485700138,15.119869930517373,11.03156835733413,5.6086537355849835,13.038927289905605,6.684790212510977
ANiMAL - Clinic A,0.5775449547496367,3.6882900775461103,5.036135145229979,7.271668152155112,13.868453831679957,8.519467240724603,4.454347389974138,7.44888970115915,8.19903616796784,-1.0434009624451843,1.3270701416747432,5.114811573966895
ANiMAL - Easy Tiger,3.4426482378642813,7.420536900121961,6.385053047084604,4.020461286165441,8.840233867015568,6.2904243833398334,-0.6234244378588906,2.822143344688896,3.815826947669354,6.3596614040822095,13.377250960099898,7.516921624939004
ANiMAL - Rockshow,5.697963165556208,9.453076653939487,8.539272964880842,8.412749297447633,18.43576436433828,8.929592254019544,0.9638988188018391,3.2809878823801575,6.47201573506737,4.890798985830922,10.488704825105355,6.662452107324571
Actions - Devil's Words,2.185778944394287,5.562305780557305,5.923056918467289,4.872755613073,9.055113501884547,7.469864237052909,4.7514026069950175,8.171561327760992,8.003055738731305,6.871220803385719,12.37653783879459,8.551177828233651
Actions - One Minute Smile,6.43689649797129,14.249232037225099,7.382830332096381,3.106638150035923,5.611152876029988,7.743624772339287,5.30154713769071,8.916692503375591,8.30539791490473,8.496294052752642,16.071977874075984,9.436462033477307
Actions - South Of The Water,1.2384542610597071,5.034999236585388,4.768195254667856,8.064674608060011,15.846334863371371,8.968030826919849,5.122750806218335,9.61126539474878,7.482966772530988,8.447995938395877,14.859072128401058,9.714252754548111
Aimee Norwich - Child,3.1974132649137648,7.764843697989443,5.735771768703768,11.386837509526524,21.775676214543406,11.832040443437727,6.444716570092213,9.67191640375609,9.693234352844524,-0.24136421327092858,2.1245154035169795,5.6026006328594935
Alexander Ross - Goodbye Bolero,1.3585986738845321,6.841517945313368,3.619960613605657,3.001041979994554,5.232434164590347,8.099748832236484,6.0281489236416705,11.042930896928775,8.001026178567184,2.61500331529862,5.700619593223939,6.586280927425296
Alexander Ross - Velvet Curtain,3.6794858038521143,9.816787318344664,5.321565431931742,5.17569186397343,7.92565248050508,9.112105161533535,2.5509787333520215,6.184640975134882,5.9530467096792785,4.621112424456869,10.037799091146667,6.502531680059321
Angela Thomas Wade - Milk Cow Blues,5.196891179689494,14.953202252630115,5.819056869338494,5.8140056484977425,10.317623114052273,8.101157065973752,6.313839908032914,11.401079652689802,8.228635520463301,3.2162323923312606,6.059992013645768,7.3609648290175675
Atlantis Bound - It Was My Fault For Waiting,9.296516664115407,19.860730143100596,9.740311749666152,5.6080791648749875,9.755688934118181,8.154654294976403,5.032620710477773,9.681556569195601,7.299848013401766,8.437374062240327,15.916381557172613,9.402111330643152
Auctioneer - Our Future Faces,2.153043016446717,8.374077721057413,3.927230437736466,9.705594273818539,14.678599260788662,11.514444119106557,5.818159876783351,9.155678687227491,9.022014025961715,3.826034089217756,7.3527245472245975,7.10824758498463
AvaLuna - Waterduct,5.643803583512557,18.362653639347396,5.945322162187936,8.471249402971846,15.04337045816664,9.685220203595259,3.8236834603533194,6.983887766720686,7.481862838656656,5.965604736209831,14.732249287987253,6.72828933959617
BigTroubles - Phantom,0.8765772303622104,5.178086326921054,4.044063091430928,11.357252029087254,26.616161365943643,11.498062145776506,9.412238479945572,13.525602812642003,11.732351492457518,1.9283545316822346,7.054350242900079,4.303287655297138
Bill Chudziak - Children Of No-one,9.632278186172346,17.247825040195462,10.539143616847849,4.376934796087595,8.601691273060508,7.000592590508033,5.7871333178200866,9.684808091095796,8.504516347693087,6.467277187678965,14.248325849338759,7.419474650033323
Black Bloc - If You Want Success,8.817539267004387,20.051359244459583,9.20009479896035,2.4125195875607277,5.551546967815995,6.364849212599851,4.549309836899903,7.465519486516499,8.371825742103917,1.8468445089539518,6.669966895284216,4.428795857774796
Celestial Shore - Die For Us,-4.444384570811635,-1.3780140657989968,2.2642940240764076,13.428090191005333,22.526691865281204,14.022628484434085,8.012968174570336,12.529843774291047,10.142880257250898,0.25272877201424226,3.131673316718418,5.119311836112679
Chris Durban - Celebrate,2.6902265188775702,8.226969071604318,4.722230597256094,8.59140432912459,13.909461658384252,10.275764312145748,5.723652863784939,9.305054517245141,8.711203365961191,6.495364170498279,12.208852168200616,8.105750387094542
Clara Berry And Wooldog - Air Traffic,4.261583361761193,18.710059729298727,4.478443535535518,8.772894482437835,13.575041540664428,10.70502386401477,5.731748979032359,8.832223792869055,9.187762884437232,5.875789173172315,15.205382970007628,6.54372267263983
Clara Berry And Wooldog - Stella,1.0272985665741272,6.889867948284327,3.1392784021223674,11.024445344461228,18.981808698419012,11.836485966299266,3.3983478017674447,7.0570013749989595,6.6252989635214306,7.334168428903687,15.55956200621737,8.161486109097044
Clara Berry And Wooldog - Waltz For My Victims,5.247244129621869,13.436715164310453,6.154379210780952,6.679516583615781,10.437665124858404,9.427938506919373,10.231677205524187,17.736959530819178,11.153428304499858,-0.8360683029864934,2.9682538038957436,3.2781593547660535
Cnoc An Tursa - Bannockburn,9.077930698471123,20.430569089233586,9.44740155456045,4.604392448206976,8.971120664646364,7.100819773435995,7.948047782429755,13.312757468943179,9.638050495308082,0.9127279241882035,5.5128543987527445,3.8372885645838943
Creepoid - OldTree,3.557410908739742,9.17280571844902,5.446712092982226,10.320676911977571,16.39297140593778,11.651494731821613,5.659605659873378,8.563174376288362,9.345378805234564,6.379783895005781,15.53752775691631,7.061564795198771
Dark Ride - Burning Bridges,10.441939341270071,17.267029140116612,11.533916404675386,6.552076410524656,11.046382529497944,8.78691727817418,3.741892305477595,6.517052686201714,7.875041493544167,4.60494918870828,12.495477632486018,5.613125904045766
Dreamers Of The Ghetto - Heavy Love,5.4135850547961955,13.02718858173614,6.45086277219145,4.64731465803227,7.521460582779403,8.505760894008583,7.607144650353776,11.597621118726522,10.10893830791198,3.6881120938495497,6.527578090655823,7.74857091105182
Drumtracks - Ghost Bitch,2.180958865858164,6.918386894127001,4.762642387411114,7.8609640203861435,12.854853063564919,9.734101241216113,4.71055204577893,8.981357612667694,7.262152480526298,7.752940544180305,17.199745134868873,8.358547062878829
Faces On Film - Waiting For Ga,0.7053177281833823,7.531747779771573,2.422252024544978,3.283141382318271,5.167040023609175,8.972122534173447,9.405004229277871,12.684342074090276,12.389947127392118,2.787921815679286,5.991866677860324,6.5877058742794405
Fergessen - Back From The Start,5.8486349714356365,18.389942567064143,6.160012087759769,3.3471030656733,6.874236245623021,6.70685730184311,-1.4911524702769061,0.7960062680459784,5.017743105786434,6.089298785613898,10.720142667794665,8.275310833875128
Fergessen - Nos Palpitants,5.544269641558034,21.73496377872884,5.678977616241507,3.349195026419725,6.249807061748775,7.396241398860096,4.542746024354791,8.54708828602846,7.312706226534571,8.139201122877166,13.289635244865908,9.921229218855393
Fergessen - The Wind,2.022280949718961,13.156326815869988,2.5754008984714325,4.843841995907283,9.316597446927773,7.242738162315291,6.012226519139938,9.832783599150247,8.769329151947149,8.45911623624811,15.815804414471572,9.453468427358933
Flags - 54,4.624614018580509,20.789943032365183,4.766976226515087,-1.2289247232160525,0.35390577664033335,6.75893050910775,-2.2040682790237067,0.11607531741774499,4.579824574819133,4.900937025098032,9.516094029320994,7.202247081078798
Giselle - Moss,3.153393237220909,7.24038790944695,6.052627180791722,2.1832055424033037,5.012927990440517,6.572126349197836,5.45334686339875,12.446188383026286,6.662145817023842,7.207101724808496,11.506572509282067,9.521232654871305
Grants - PunchDrunk,-0.2351854123152201,2.794826503993593,4.5894230592515015,6.615766877639906,8.990109736363625,10.887470815619931,-3.3743296348577916,-0.3303817363808836,2.7812129933691256,8.510305866434821,15.887408160812944,9.498260352333828
Helado Negro - Mitad Del Mundo,-0.06134356647540938,4.195065767989786,3.382570696246863,5.088245611083121,7.302186256083475,9.81574286920787,-0.19247990261629216,3.7209366553119763,3.6072699809534647,10.893214710900551,23.15215868337624,11.180332795894703
Hezekiah Jones - Borrowed Heart,3.9247473753217044,12.239514034850314,4.869209878698922,4.164587514189736,6.796144371623,8.414520271377455,7.276325976124837,11.637508187960574,9.545851830154016,1.7123188466540862,4.473737657094448,6.312322308437066
Hollow Ground - Left Blind,5.5019598254303,11.126516638877765,7.214584979621065,7.6973259829694785,12.751216846623013,9.548099766409967,8.557441466227349,14.735997237049894,9.898972905096944,6.432984302158409,17.91813030944336,6.822580891204639
Hop Along - Sister Cities,0.42875535799155534,6.030172054303774,2.794563036989495,11.349047270964105,18.238225182614883,12.408318907725706,8.170972412119117,12.22119221041982,10.595786287661644,4.401604382722786,10.206640067400132,6.120834194044815
Invisible Familiars - Disturbing Wildlife,0.3376211478628444,4.449350986204832,3.802193620155872,10.123807001927204,18.671508689517903,10.835935609860156,1.9811875812959618,4.386961048366504,7.042667525710452,4.196125045561216,10.197997092067046,5.848068550293705
James May - All Souls Moon,7.330958457451635,18.246821477618685,7.762286667238465,4.211644311635297,8.349607143051536,6.920272175230366,5.0934954304219335,9.777005737935358,7.333610990200505,5.167196719022014,10.46290112659674,7.061675707136912
James May - Dont Let Go,-2.034051618709207,1.8725570197747348,2.407823777469598,8.173886205433732,13.558867254073634,9.844931428497205,4.862422078092943,9.765598330861975,6.994593141270782,4.061015179113165,7.433121212520969,7.458328589799982
James May - If You Say,2.0740198782509167,8.252298529872377,3.87735216616049,4.133254833843195,6.933818189579007,8.165112770352636,6.5796352620694,12.424207355410035,8.130991277936687,5.7561263434565655,10.660568783628745,7.809784711761692
James May - On The Line,7.908831102013049,17.555786738742775,8.483047657623619,5.505367084799252,9.829466623684851,7.938082794335265,5.262278325010775,10.620394801110166,7.118078892134523,5.511183380678538,10.51862955225067,7.527885571404398
Jay Menon - Through My Eyes,10.208788647568198,17.68407976171246,11.13792533880611,8.688943405683691,14.027142272849364,10.360410071237382,6.001086145565057,12.939220504248901,7.198478245946744,10.00275100167848,15.615573702453847,11.514620934432251
Johnny Lokke - Promises & Lies,13.230257957159079,21.470411664561027,13.966725336185203,5.981037500932997,10.983514792753235,7.963949146944959,7.872367776567488,14.02547330506348,9.247040323919357,6.709933133937282,13.805753679789106,7.830045477397098
Johnny Lokke - Whisper To A Scream,5.48341327867608,14.365558225368943,6.241110215134423,7.362515043170417,11.683834869020004,9.65229584409343,6.279007814140006,9.153420544759346,9.927666154992123,1.594401820610567,5.321006514244074,5.108308581161909
Jokers Jacks & Kings - Sea Of Leaves,7.289627301903545,20.664941277306163,7.531109242706239,3.9015704029103455,8.652932753872488,6.22762527882923,6.215358415057763,9.964368429654735,9.011700460650635,6.086493785734788,11.192147083673078,8.007475720242113
Leaf - Come Around,-3.3617079886896306,1.3223062525523679,0.8427485326552143,14.503663618404394,26.05234139219998,14.829624699509854,5.299096453027072,8.927929392334194,8.291161610957909,6.4238154236252285,12.894486579959743,7.750457780329145
Leaf - Summerghost,8.83354773945635,20.63508301808344,9.167653470208371,11.349878397168244,22.564188042826594,11.71531510635562,2.808750205704028,5.370417082589224,7.426581620825812,6.955445626943119,15.470882777604613,7.735771606163453
Leaf - Wicked,8.447301550450433,17.167111932304508,9.156130282730528,9.729883626502762,18.090446755204546,10.481500282409426,4.206293869459483,8.177263277771626,7.045502962630305,6.196625649755433,18.054614844554628,6.55685058473249
Lushlife - Toynbee Suite,-5.161298447362301,-2.678603855870359,3.0026031325785283,11.340109109335534,26.724941370908198,11.476875974947802,2.5802159133140146,4.4481648184336535,8.477387459278715,-3.7558495985264995,-0.895015140401562,2.890066697639199
Matthew Entwistle - Dont You Ever,-10.678453191790434,-8.447615649167659,2.3104432711048206,12.916767045969719,24.454557776386054,13.248327491140461,6.212878829632583,12.698311555896243,7.545025911769784,7.772803004619194,12.150228796547358,10.001813164075063
Meaxic - Take A Step,6.240224033525391,14.849667836194191,7.023730736982866,9.136644646684529,16.79956739715432,10.042379540809138,2.4605769971369407,5.751434186665677,6.2316343597744615,6.423567167039042,14.470532765192328,7.316617769282308
Meaxic - You Listen,4.900810876054237,14.813528117779036,5.509237772221062,6.013566954838623,9.26430085371122,9.282251118839195,6.756577487683564,11.733417899892862,8.700226175209378,7.291068363599331,16.043433601872664,8.018961007377518
Music Delta - 80s Rock,13.411051167047672,24.00525972779438,13.824589455536007,10.782781667802752,19.98511633905173,11.382114731394799,6.184819188339449,12.506547345570452,7.575551521035018,9.85434810576023,19.794414068979084,10.363931403815801
Music Delta - Beatles,8.821295945072986,21.127553667111698,9.117845011896721,5.446196048161385,10.28651196296872,7.561612400327153,6.093389241062541,10.47736155578615,8.43432480260881,6.810375827128555,14.53448250983623,7.764006787025453
Music Delta - Britpop,10.96333710981739,21.348356454952135,11.41188733679289,8.755129798708715,17.572249163897517,9.441765765013743,7.1065064199815176,11.089054009353577,9.64836156223219,6.802839595280932,13.38270774050555,8.075604259908168
Music Delta - Country1,10.743454164739063,20.85550008622768,11.224274743042857,11.25720041260379,18.81411013325955,12.152055478801895,5.3108293965370486,11.797860528262621,6.693231473278156,10.543694654377866,18.70160778834504,11.322160696379138
Music Delta - Country2,12.268417792912222,22.118078898927152,12.769608270675896,8.615570399559367,15.082670865666728,9.858472109558061,4.018080217255362,8.429143851117608,6.55357874049737,10.915429269051716,19.447039839190367,11.62065159392284
Music Delta - Disco,10.451430310744632,19.808310408479798,11.031869801307666,9.601392974674939,19.003667966251957,10.185046817275898,-0.9401770900817841,2.4507764571100363,3.6757017352285293,12.164031018252645,22.688466088278815,12.590382405214562
Music Delta - Gospel,9.69989258188092,21.360210168591397,10.038434790154545,9.04169357357813,17.45166323139963,9.795434498696379,1.525859215629277,5.008289997334085,5.301676716695645,15.843145531395454,23.41437398944136,16.698005098985554
